,article,class
10,"A network attached storage (NAS) unit can be thought of as a dedicated data storage unit that is available to all users of a network.  Unlike a traditional dedicated file storage unit ,, a NAS unit typically has an operating system and software designed specifically (and only) for providing data storage services.  The actual storage is usually provided by an array of hard drives ,.  Files on the NAS are accessed through protocols such as SMB (server message block), common on Windows networks, and NFS (network file system), used on many UNIX and some Linux networks.  In recent years smaller, lower-cost NAS devices have become available for smaller networks, including home networks, where they can store music, video, and other files ,",0
11,"Although it sounds similar, a storage area network (SAN) does not function as its own file server.  Rather, it attaches storage modules such as hard drives or tape libraries to an existing server so that it appears to the server’s operating system as though it were locally attached.  Typically the protocol used to attach the storage is SCSI ,, but the physical connection is fiber or high-speed Ethernet.  The emphasis for SAN applications is the need for fast access to data, such as in large online databases, e-mail servers, and high-volume file servers.  SANs offer great flexibility, since storage can be expanded without changing the network structure, and a replacement server can quickly be attached to the storage in case of hardware failure",0
12,"In the kind of science fiction sometimes called “cyberpunk,”people are able to “jack in” or connect their brains directly tocomputer networks.  Because of this direct input into the brain(or perhaps the optic and other sensory nerves), a personwho is jacked in experiences the virtual world as fully real,and can (depending on the world’s rules) manipulate it withhis or her mind.  This kind of all-immersive virtual reality isstill science fiction, but today people are beginning to controlcomputers and artificial limbs directly with their minds. ",0
13,"Neuroprosthetics is the creation of artificial limbs or sensoryorgans that are directly connected to the nervous system. The first (and most widely used) example is the cochlearimplant, which can restore hearing by taking sound signals from a microphone and converting them to electricalimpulses that directly stimulate auditory nerves within thecochlea, a part of the inner ear.  Similarly, experimental retinal implants that stimulate optic nerves are beginning tooffer crude but useful vision to certain blind patients. Research in connecting the brain to artificial arms orlegs is still in its early stages, but scientists using microelectrode arrays have been able to record signals from thebrain’s neurons and correlate them to different types ofmotor movements.  In a series of experiments at Duke University, researchers first trained a monkey to operate a joystick to move a shape in a video game.  They then recordedand analyzed the signals produced by the monkey’s brainwhile playing the game, and correlated them with themotor movements in the joystick.  Next, they replicatedthese movements with a robotic arm as the monkey movedthe joystick.  Finally, they were able to train the monkey tomove the robotic arm without using the joystick at all, simply by “thinking” about the movements. ",0
14,"As more is learned about the detailed functioning of neuronal networks inside the brain, “cognitive prosthetics” maybecome feasible.  One example might be computer memory modules that might act as a surrogate or extension ofhuman memory, perhaps helping compensate for loss ofmemory due to age or disease.  (Early experiments on interfacing to the hippocampus, a part of the brain important forforming memories, have been underway since 2003. )Other possibilities might include processors that couldgive a person the ability to think about a mathematicalproblem and “see” the answer, or to search databases or theWeb simply by visualizing or thinking about the information desired",0
15,"Integers (whole numbers) have the simplest representation, but there are two important considerations: the totalnumber of bits available and whether one bit is used to holdthe sign. Since all numbers are stored as binary digits, an unsignedinteger has a range from 0 to 2bits where “bits” is the totalnumber of bits available.  Thus if there are 16 bits available, the maximum value for an integer is 65535.  If negativenumbers are to be handled, a signed integer must be used(in most languages such as C, C++, and Java, an integer issigned unless unsigned is specified).  Since one bit is usedto hold the sign and each bit doubles the maximum size, itfollows that a signed integer can have only half the rangeabove or below zero.  Thus, a 16-bit signed integer can rangefrom -32,768 to 32,767. One complication is that the available sizes of integersdepend on whether the computer system’s native data sizeis 16, 32, or 64 bits.  In most cases the native size is 32 bits,so the declaration “int” in a C program on such a machineimplies a signed 32-bit integer that can range from - 231 or-2,147,483,647 to 231-1, or 2,147,483,647.  However, if one isusing large numbers in a program, it is important to checkthat the chosen type is large enough.  The long specifier isoften used to indicate an integer twice the normal size, or64 bits in this case. ",0
16,"Numbers with a fractional (decimal) part are usually storedin a format called floating point.  The “floating” means thatthe location of the decimal point can be moved as necessaryto fit the number within the specified digit range.  A floatingpoint number is actually stored in four separate parts.  Firstcomes the sign, indicating whether the number is negativeor positive.  Next comes the mantissa, which contains theactual digits of the number, both before and after the decimal point.  The radix is the “base” for the number systemused.  Finally, the exponent determines where the decimalpoint will be placed. For example, the base 10 number 247. 35 could be represented as 24735 × 10-2.  The -2 moves the decimal pointat the end two places to the left.  However, floating-pointnumbers are normalized to a form in which there is just onedigit to the left of the decimal point.  Thus, 247. 35 wouldactually be written 2. 4735 × 102.  This system is also knownas scientific notation. As noted earlier, actual data storage in modern computers is always in binary, but the same principle applies. According to IEEE Standard 754, 32-bit floating-point numbers use 1 bit for the sign, 8 bits for the exponent, and 23bits for the mantissa (also called the significand, since itexpressed the digits that are significant—that is, guaranteed not to be “lost” through overflow or underflow in processing).  The double precision float, declared as a “double”in C programs, uses 1, 11, and 52 bits respectively. ",0
17,"Many objects are more elaborate or specialized variations ofmore basic objects.  For example, in Microsoft Windows thevarious kinds of dialog boxes are specialized versions of thegeneral Window class.  Therefore, the specialized versionis created by declaring it to be derived from a “base class. ”Put another way, the specialized class inherits the basicdata and functions available in the base (parent) class.  Theprogrammer can then add new data or functions or modifythe inherited ones to create the necessary behavior for thespecialized class. Languages such as C++ allow for a class to be derivedfrom more than one base class.  This is called multipleinheritance.  For example, a Message Window class mightinherit its overall structure from the Window class andits text-display capabilities from the Message class.  However, it can sometimes be difficult to keep the relationshipsbetween multiple classes clear.  The Java language takes thealternative approach of being limited to only single inheritance of classes, but allowing interfaces (specifications ofhow a class interacts with the program) to be multiplyinherited. ",0
18,"Different kinds of objects often have analogous methods. For example, suppose there is a series of classes that represent various polygons: square, triangle, hexagon, and so forth.  Each class has a method called “perimeter” thatreturns the total distance around the edges of the object.  Ifeach of these classes is derived from a base polygon class,each class inherits the base class’s perimeter method andadapts it for its own use.  Thus, a square might calculateits perimeter simply by multiplying the length of a side byfour, while the rectangle would have to add up differentsized pairs of sides, and so on. ",0
19,"In the late 1990s “banner ads” started to appear on Websites, and other forms of advertising soon followed.  Companies rushed into the online world, either with the belief thatit had unlimited potential for finding new customers, or outof fear that the competition would get there first.  Unfortunately it was hard to measure the actual effectiveness ofads, and Web sites (such as for publications) that lookedto third-party advertising as a source of income found theoutlook bleak in the wake of the bursting of the “dot-combubble” of the early 2000 decade. Only a few years later, however, advertisers using newbusiness models and targeting techniques have made onlineadvertising not only a viable business, but a rapidly growing one.  (According to the Interactive Advertsing Bureau,Internet advertising revenue in the United States in 2007was $21. 2 billion, up 26 percent from 2005. )The effects of the online advertising revolution are rippling outward, impacting traditional advertising mediasuch as newspapers (in particular see craigslist), magazines, and even television. ",0
20,"Types of ads include the following:, Banner ads are contained in rectangles, often at the topof the Web page.  (Sometimes they can mimic dialogboxes from the operating system. ) They still accountfor about half of all online advertising, and can appearon sites of all types. , Pop-up or pop-under ads appear above or beneath thecurrent window, respectivelyFloating ads appear over the main page content, oftenmoving across the screen. , Interstitial ads are displayed before the requestedcontent (such as an article or video) is shown.  Theyrun for a specified period of time, although they cansometimes be closed by the viewer. Many ads are animated; some even contain video clips. There are also ads formatted for mobile devices, includingtext messages sent to cell phones. ",0
21,"Google and other large search enginesor portals can make money from advertisers is through“affiliate marketing”; Google’s version is called Ad Sense. Participating Web sites are indexed, and the resulting keywords are matched with ads awaiting placement.  The sitecarrying the ad generally gets a per-click payment.  However, the problem of “click fraud” has also arisen: Scammerscan set up an affiliate site and then use special software togenerate the clicks, while making them come from a varietyof sources.  Despite these problems, in 2006 about 40 percent of revenue from online advertising was attributed tosearch-related ads. ",0
22,"The dark side of online advertising is found in programsthat are surreptitiously installed on users’ PCs and thendownload and display advertising from shady Web operations ,.  While many users nowregularly run programs to block such malware, even legitimate online advertising can irritate users, particularlywhen ads are too prominent, float over (and block) text, orlurk behind the browser window.  Modern Web browsershave ad-blocking features that work with varying degreesof effectiveness.  As with TV, online advertisers increasinglyhave to cope with impatient users who do not have to lookat ads unless they actually want to. Advertisers can employ several strategies to keep userswilling to look at ads.  One is to make the ad unobtrusiveand brief, and on the way to something the user reallywants to see.  In 2007 YouTube began such advertising. Another is to provide free versions of software or servicesthat, in exchange for being free, require the user to put upwith some screen real estate being devoted to ads.  Finally,as with TV, advertising can be woven into the content itself,such as in online computer games. A sensitive area is the attempt to balance advertisers’desire to know as much as possible about consumers’ interestsand buying habits with the same consumers’ concern aboutprotecting their privacy",0
23,"A variety of other frauds and scams appear online or viae-mail with some frequency:, the “419” or “Nigerian money letter” that promises arich cut for helping facilitate a money transfer for adistressed official, fraudulent charitable solicitations, particularly aftersuch disasters as the Asian tsunami or HurricaneKatrina, adoption and marriage scams, educational fraud, such as worthless degrees offeredby unaccredited institutions, dubious employment schemes or “home businesses”involving preparing mailings or medical billing, services that offer to “repair” bad credit ratings, tax-avoidance schemes, often based on nonexistentlegal claims or loopholes",0
24,"Online casinos appeared in 1995, but at first they couldonly be played “for fun,” with no actual money changinghands.  That soon changed: In 1996, InterCasino appeared—it would be the first of hundreds of online casinos, sportsbookmakers, and other types of gambling.  Generally theseoperations are based outside of the United States—Caribbean islands such as Antigua and Curaçao are popular locations. Online casinos offer traditional table games such asblackjack, roulette, and craps.  Generally odds and payoffsare comparable to those at traditional casinos.  Assumingthe game is honest and properly programmed, the house’srevenue comes from a percentage of the amount bet—blackjack having the lowest house percentage and roulette thegreatest.  Slot machines (which give an even higher percentage to the house) can also be simulated online. ",0
25,"Online poker has become very popular, particularly gamessuch as Texas Hold’Em.  Estimated revenues from onlinepoker in the United States were $2. 4 billion in 2005. Unlike the case with casino games, online poker playersplay against each other, not the house.  The house’s revenuecomes from a “rake,” or percentage, of the pot.  Many sitesoffer organized tournaments, and some online players havegone on to win traditional tournaments.  (The aptly namedChris Moneymaker won an online tournament, qualifyinghim to enter the 2004 World Series of Poker, which he wenton to win. )Like online casinos, online poker is illegal in the UnitedStates.  Proponents argue that while any given hand is random, poker in the long run is a game of skill, not chance.  Agroup called the Poker Players Alliance has been lobbyingto exempt poker from Internet gambling laws. A third type of online gambling is sports betting, whichis legal in many countries but only in Nevada in the UnitedStates.  The Web has also given sports bettors a forum fordiscussing (or arguing about) teams and their prospects. ",0
26,"Online games today range from elaborate war games toopen-ended fantasy worlds to virtual universes that mirror“real-world” activities, including economics, politics, andeven education. The first online games appeared in the late 1970s onPLATO, an educational network, as well as on the earlyInternet of the 1980s.  These MUDs (multiuser dungeons)were generally based on pen-and-paper role-playing gamesof the time, notably Dungeons & Dragons.  These games were text based, with players typing their characters’ actionsand dialog while the changing world as seen by the players was similarly described.  By the early 1990s, however,MUDs had spun off many variants.  Many were still “hackn’ slash” dungeon games (which were also offered on America Online and other commercial services).  Many of theseMUD-like games such as AOL’s Neverwinter Nights offeredsimple graphics.  Meanwhile other games began to offermore sophisticated social interactions as well as the abilityof players to make their own additions to the game world,including buildings. ",0
27,"Today’s online games feature a “persistent world” hosted onone or more servers that grows and develops from day to dayand in which the “avatars” or representatives of thousandsof players interact with game-generated creatures or oneanother, using client software.  Players can spend hundredsof hours helping their characters develop skills, increasingtheir levels through experience points gained from successful combat or other activities.  Players (and their characters) frequently form organizations such as guilds or clans,because the tougher challenges generally require the cooperation of different types of classes of characters (fighters,healers, and magic-users). Modern MM ORPGs began in the late 1990s with suchtitles as Ultima Online and EverQuest.  The most popularMMORPG in the mid-2000s was World of Warcraft. ",0
28,"As with shoppers, investors have increasingly been attractedto the interactivity and ease of online transactions.  In addition to allowing stocks to be bought or sold with just a fewclicks, online brokers (also called discount brokers) chargemuch lower transaction fees than their traditional counterparts, typically less than $10 per trade. Some online brokers, such as E*Trade, Scottrade, andTD Ameritrade, were established as Internet brokers.  However, traditional brokerages such as Charles Schwab andWaterhouse have also opened online discount brokerages. In addition to fast, inexpensive trading, many onlinebrokers also offer a variety of resources and tools, including stock quotes and charts, research reports, and screening programs to help investors pick the mutual funds orindividual investments that meet their objectives.  For moresophisticated investors, some brokers offer simulations fortesting investment strategies and programmed trading,which will execute buy or sell orders automatically depending on specified conditions. Online brokers can specialize, seeking customers whowant to make frequent trades but do not need other support, or investors who are interested in obtaining IPOs (initial public offerings) of up-and-coming companies.  Somebrokers may emphasize mutual funds and cater to retirement accounts, while others might offer government or corporate bonds, foreign stocks, “penny stocks,” or more exoticinvestments. The interactivity and low transaction costs in onlineinvesting may encourage people to become involved inhighly speculative penny stocks, options, day trading, foreign exchange markets, and other areas that are not suitablefor most individual investors.  While there is a great dealof useful information available online, it is a good idea tobegin by discussing investment goals and potential riskswith a trusted financial adviser. ",0
29,"In evaluating a job site it is important to get a feel forthe kinds of jobs offered and the target audience, such asprofessionals, recent graduates, white-collar or service sector jobs, and so on.  Other important features to look forinclude:, powerful search or filtering capability, such as by typeof job or employer, keywords in job description, orlocality, the ability to put one’s resume online and edit orupdate it as needed. , the ability to have several versions of one’s resumetailored to different types of jobs, automatic e-mail alerts about newly added jobs thatmeet the user’s criteria, privacy protections so that contact information fromresumes is not used for marketing or other nonemployment purposes, lack of fees to job seekers (normally employers are theservice’s source of revenue)",0
30,"A persistent problem in artificial intelligence , is how to provide a software systemwith a model that it can use to reason about a particularsubject or domain.  A data model or ontology basically consists of classes to which the relevant objects might belong,relationships between classes, and attributes that objects inthat class can possess.  (For implementation of these ideaswithin programming languages, see classes and objectoriented programming. )For example, a business ontology might include classessuch as:, Entity—a business or person, Supplier—an Entity that provides wholesale goods orservices, Customer—an Entity that buys the company’s goodsor services, Contractor—an Entity that performs work for thecompany on contract",0
31,"Ontologies can be used to provide guidance to a variety oftypes of programs (for example, see expert system, natural language processing, and software agent).  Thusif an automatic news summarizer program encounters astory that includes references to opposing lawyers and legalissues, it could apply an ontology that defines the likelyrelationship of the participants in the case. Creating useful ontologies is quite labor intensive interms of the human thinking and coding involved.  However, there have been substantial efforts in recent years tocreate anthologies for many fields, particularly in biologyand genetics.  The Web Ontology Language (OWL) is apopular tool for creating ontologies that can be used tomake Web content more understandable to programs ,. Meanwhile, an ambitious and long-running projectcalled Cyc (for Encyclopedia) under the direction of Douglas Lenat has been engaged in creating what amounts tovast ontologies for many of the domains included in everyday human life as well as specialized fields of knowledge.  Alarge portion of this work has been made available as opensource. ",0
32,"According to Stallman and many other advocates, “opensource” software is not necessarily free.  What is requiredis that users receive the full source code (or have it readilyavailable for free or at nominal charge).  Users are free tomodify or expand the source code to create and distributenew versions of the software.  Following a legal mechanismthat Stallman calls “copyleft,” the distributor of opensource software must allow subsequent recipients the samefreedom to revise and redistribute.  However, not all software that is billed as open source follows all of Stallman’srequirements, including being copylefted.  Formally, opensource software is generally licensed according to variousversions of the General Public License (GPL).  The latestversion, GPL3, released in 2007, has been controversial. Among other things, it more aggressively attempts to prevent open-source software from being restricted or otherwise hampered by being combined with patented softwareor proprietary hardware. ",0
33,"An operating system is an overarching program that manages the resources of the computer.  It runs programs andprovides them with access to memory (RAM), input/outputdevices, a file system, and other services.  It provides application programmers with a way to invoke system services, andgives users a way to control programs and organize files. The “core” functions include “booting” the system and initializing devices, process management(loading programs intro memory assigning them a share ofprocessing time), and allowing processes to communicatewith the operating system or one another ,. Multiprogramming systems often implement not only processes (running programs) but also threads, or sections ofcode within programs that can be controlled separately. A memory management scheme is used to organize andaddress memory, handle requests to allocate memory, freeup memory no longer being used, and rearrange memory tomaximize the useful amount ,. There is also a scheme for organizing data created orused by programs into files of various types ,.  Mostoperating systems today have a hierarchical file system thatallows for files to be organized into directories or foldersthat can be further subdivided if necessary",0
34,"Designers of modern operating systems face a numberof continuing challenges:, security, in a world where nearly all computers arenetworked, often continuously ,, the tradeoff between powerful, attractive functionssuch as scripting and the security vulnerabilities theytend to present, the need to provide support for new applications suchas streaming audio and video ,, ease of use in installing new devices ,The continuing development of new user-interfaceconcepts, including alternative interfaces for the disabled and for special applications ,, the growing use of multiprocessing and multiprogramming, requiring coordination of processors sharingmemory and communicating with one another ,, distributed systems where server programs, clientprograms, and data objects can be allocated amongmany networked computers, and allocations continually adjusted or balanced to reflect demand on thesystem ,, the spread of portable, mobile, and handheld computers and computers embedded in devices such asengine control systems ,.  (Sometimes the choice isbetween devising a scaled-down version of an existing operating system and designing a new OS that isoptimized for devices that may have limited memoryand storage capacity. )",0
35,"Generally speaking, the levels of precedence for mostlanguages are as follows:1.  scope resolution operators (specify local v.  globalversions of a variable)2.  invoking a method from a class, array subscript,function call, increment or decrement3.  size of (gets number of bytes in an object), addressand pointer dereference, other unary operators(such as “not” and complement); creation and deallocation functions; type casts 4.  class member selection through a pointer5.  multiplication, division, and modulus6.  addition and subtraction7.  left and right shift operators8.  less than and greater than9.  equal and not equal operators10.  bitwise operators (AND, then exclusive OR, inclusive OR)11.  logical operators (AND, then OR)12.  assignment statements",0
36,"Today it is easy to optically scan text or graphics printed onpages and convert it into a graphical representation for storage in the computer ,.  However, a shape suchas a letter c doesn’t mean anything in particular as a graphic. Optical character recognition (OCR) is the process of identifying the letter or other document element that correspondsto a given part of the scanned image and converting it tothe appropriate character ,.  Ifthe process is successful, the result is a text document thatcan be manipulated in a word processor, database, or otherprogram that handles text.  Raymond Kurzweil (1948– )marketed the first commercially practicable general-purposeoptical character recognition system in 1978. ",0
37,"Once the document page has been scanned into an imageformat, there are various ways to identify the characters. One method is to use stored templates that indicate the pattern of pixels that should correspond to each character.  Generally, a threshold of similarity is defined so that an exactmatch is not necessary to classify a character: The templatemost similar to the character is chosen.  Some systems storea set of templates for each of the fonts most commonly foundin printed text.  (Recognizing cursive writing is a much morecomplex process: See handwriting recognition. )A more generalized method uses structural features(such as “all t’s have a single vertical line and a shortercrossbar line”) to classify characters.  To analyze a character,the different types of individual features are identified andthen compared to a set of rules to determine the charactercorresponding to that particular combination of features. Sometimes thresholds or “fuzzy logic” are used to decidethe probable identity of a character. ",0
38,"Jaguar, panther, tiger, and leopard—these and other namesof sleek big cats represent versions of Apple’s Macintoshoperating system, OS X (pronounced “OS 10”—see AppleCorporation and Macintosh).  Unlike the previous MacOS, OS X, while broadly maintaining Apple’s user interfacestyle ,, is based on a version of UNIXcalled OpenStep, developed by NeXT starting in the 1980s,.  OS X development began when Steve Jobsreturned as Apple CEO in 1997 ,and the company bought NeXT, acquiring the software.  Thefirst version, OS X 10. 0, or Cheetah, was released in 2001,but the system was not widely used until 10. 1 (Puma) wasreleased later the same year. At the core of OS X is a free and open-source version ofUNIX called “Darwin,” with a kernel called XNU.  On top ofthis Apple built a distinctive and subtly colorful user interface called Aqua and a new version of the Macintosh Finderfile and program management system",0
39,"Today OS X includes a variety of useful software packages—some free and some optional.  These include iLife (digitalmedia management), iWork (productivity), and Front Row(home media center).  OS X10. 5 also includes Time Machine,an automatic backup system that can restore files (includingdeleted files) as well as earlier system settings. For software developers, OS X provides an integrateddevelopment environment called “Xcode,” which workswith modified open-source compilers for major programming languages, including C, C++, and Java.  Further,because OS X is UNIX-based, many UNIX and Linux programs can be recompiled to run on it.  Since mid-2005 Apple(and OS X) have been transitioning from the earlier IBM/Motorola processors to Intel processors.  This transition waslargely complete by 2007, though OS X 10. 5 (Leopard) stillprovides support for applications written for the PowerPC. OS X has been well received by critics, and together withits bundled software has made the Macintosh a popularplatform for users who want a seamless computing experience, particularly with regard to graphics and media. ",0
40," With a parallel connection, however, the eight bitsof the byte are sent simultaneously, each along its own wire,so parallel ports are generally faster than serial ports.  Also,since the data is transmitted simultaneously, the protocolfor marking the beginning and end of each data byte is simpler.  On the other hand, parallel cables are more expensive(since they contain more wires) and are generally limitedto a length of 10 feet or so because of electrical interferencebetween the parallel wires. The original parallel interface for personal computerswas designed by Centronics, and a later version of this 36-pin connector remains popular today.  Later, IBM designed a25-pin version.  In addition to the wires carrying data, additional wires are used to carry control signals",0
41,"After many years of effort researchers have been able tocreate systems that can recognize particular human faces,.  On the other hand, any normalsix-month-old child can effortlessly recognize familiarfaces (such as parents).  The fundamental task of turningraw data (whether from senses, instruments, or computerfiles) into recognizable objects or drawing inferences iscalled pattern recognition.  Pattern recognition is at theheart of many areas of research and application in computing ,. Despite the challenge in getting machines to do what comes naturally for biological organisms, the potentialpayoffs are immense. A pattern-recognition system begins with data, whetherstored or real-time (such as from a robot’s camera).  The firsttask in turning potentially billions of bytes of data intomeaningful objects is to extract features from what is likelya high proportion of redundant or irrelevant data.  (Withvisual images, this often involves finding edges that defineshapes. ) The extracted features are then classified to determine what objects they might represent.  This can be doneby comparing structures to templates or previously classified data or by applying statistical analysis to determine thelikely correlation of the new data to existing patterns ,. Pattern recognition often includes learning algorithmsas well; indeed, the field is often considered to be a subtopicof machine learning.  For example, classification systemscan be refined by “training” them and reinforcing successful determinations ,. ",0
42,"The first stage in making computing available away fromthe office desk was the development of “portable” and thenlaptop computers in the 1980s ,. Laptops, however, are relatively heavy and bulky, and thusnot suitable for activities such as making notes at meetings or keeping track of appointments while on the go. The logical solution to that need was to develop a computer small enough to carry in a pocket or purse.  The firsthandheld computer to achieve widespread recognition wasApple’s Newton, which the company referred to as a “personal digital assistant. ” This term, usually abbreviated toPDA, became a generic category with the introduction ofthe Palm Pilot, which first appeared in 1996, followed bythe seemingly ubiquitous RIM Blackberry in 1999. ",0
